26.03.2024 21:20 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:20 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:20 | Bot | [INFO] Запуск бота..
26.03.2024 21:20 | Bot | [INFO] Бот готов к работе
26.03.2024 21:20 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:20 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:20 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:20 | Bot | [INFO] Запуск бота..
26.03.2024 21:20 | Bot | [INFO] Бот готов к работе
26.03.2024 21:20 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:20 | Bot | [WARNING] Новый пользователь: @mrwoon_official
26.03.2024 21:20 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:21 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:21 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:21 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:21 | Bot | [INFO] Запуск бота..
26.03.2024 21:21 | Bot | [INFO] Бот готов к работе
26.03.2024 21:21 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:21 | Bot | [WARNING] Новый пользователь: @mrwoon_official
26.03.2024 21:21 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:22 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:22 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:22 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:22 | Bot | [INFO] Запуск бота..
26.03.2024 21:22 | Bot | [INFO] Бот готов к работе
26.03.2024 21:22 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:22 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:22 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:22 | Bot | [INFO] Запуск бота..
26.03.2024 21:22 | Bot | [INFO] Бот готов к работе
26.03.2024 21:22 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:22 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:22 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:22 | Bot | [INFO] Запуск бота..
26.03.2024 21:22 | Bot | [INFO] Бот готов к работе
26.03.2024 21:22 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:22 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
26.03.2024 21:22 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:22 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:22 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:22 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:22 | Bot | [INFO] Запуск бота..
26.03.2024 21:22 | Bot | [INFO] Бот готов к работе
26.03.2024 21:22 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:22 | Bot | [WARNING] Новый пользователь: @mrwoon_official
26.03.2024 21:22 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:22 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
26.03.2024 21:22 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:23 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:23 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:23 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:23 | Bot | [INFO] Запуск бота..
26.03.2024 21:23 | Bot | [INFO] Бот готов к работе
26.03.2024 21:23 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:23 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:23 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:23 | Bot | [INFO] Запуск бота..
26.03.2024 21:23 | Bot | [INFO] Бот готов к работе
26.03.2024 21:24 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:24 | Bot | [WARNING] Новый пользователь: @mrwoon_official
26.03.2024 21:24 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:24 | Bot | [WARNING] Попытка повторого запуска: @mrwoon_official
26.03.2024 21:24 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:24 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:24 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:24 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:24 | Bot | [INFO] Запуск бота..
26.03.2024 21:24 | Bot | [INFO] Бот готов к работе
26.03.2024 21:25 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:25 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:25 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:25 | Bot | [INFO] Запуск бота..
26.03.2024 21:25 | Bot | [INFO] Бот готов к работе
26.03.2024 21:25 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:25 | Bot | [WARNING] Новый пользователь: @mrwoon_official
26.03.2024 21:25 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:28 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:28 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:28 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:28 | Bot | [INFO] Запуск бота..
26.03.2024 21:28 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:28 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:28 | Bot | [INFO] Запуск бота..
26.03.2024 21:29 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:29 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:29 | Bot | [INFO] Запуск бота..
26.03.2024 21:32 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:32 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:32 | Bot | [INFO] Запуск бота..
26.03.2024 21:34 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:34 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:34 | Bot | [INFO] Запуск бота..
26.03.2024 21:34 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:34 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:34 | Bot | [INFO] Запуск бота..
26.03.2024 21:39 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:39 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:39 | Bot | [INFO] Запуск бота..
26.03.2024 21:39 | Bot | [INFO] Бот готов к работе
26.03.2024 21:39 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:39 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:39 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:39 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:39 | Bot | [CRITICAL] Бот отключён
26.03.2024 21:40 | Bot | [INFO] Создание классов и функций..
26.03.2024 21:40 | Bot | [INFO] Создание обработчиков команд..
26.03.2024 21:40 | Bot | [INFO] Запуск бота..
26.03.2024 21:40 | Bot | [INFO] Бот готов к работе
26.03.2024 21:40 | Bot | [WARNING] start() от @mrwoon_official
26.03.2024 21:40 | Bot | [WARNING] Обнаружен админ: @mrwoon_official
26.03.2024 21:40 | Bot | [CRITICAL] Бот отключён
27.03.2024 11:21 | Bot | [INFO] Создание классов и функций..
27.03.2024 11:21 | Bot | [INFO] Создание обработчиков команд..
27.03.2024 11:21 | Bot | [INFO] Запуск бота..
27.03.2024 11:21 | Bot | [INFO] Создание классов и функций..
